ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
hsa00380	Tryptophan metabolism	42	-0.525041256535329	-1.70292610925945	0.000859189648745433	0.00424170552748258	0.00269896423979645	4868	tags=55%, list=13%, signal=48%	26/125061/23498/883/501/3030/1738/4129/3033/55526/223/1743/316/219/130013/224/64577/847/1962/38/1644/1543/1544
hsa00410	beta-Alanine metabolism	30	-0.542237103498549	-1.67197416668602	0.00540601440487396	0.0213060567721503	0.0135568782289409	4002	tags=53%, list=11%, signal=48%	35/501/3030/51/55748/223/23417/1807/26275/51733/219/224/84735/18/1962/4329
hsa01040	Biosynthesis of unsaturated fatty acids	27	-0.545234170928776	-1.64725533129614	0.0137143668489414	0.0459431289439537	0.0292332556516909	4165	tags=37%, list=11%, signal=33%	6342/3295/51495/51/6785/10965/79993/641371/122970/570
hsa01212	Fatty acid metabolism	57	-0.552885076237843	-1.94821652913209	4.60449525793769e-05	0.00034277909142425	0.000218107670112838	4394	tags=40%, list=12%, signal=36%	23205/84869/6342/35/3295/3030/51495/51/6785/7923/3033/3032/36/79993/1374/33/2180/1376/34/23305/10449/1962/38
hsa00970	Aminoacyl-tRNA biosynthesis	25	-0.569460424068537	-1.72697162952863	0.00302052380889364	0.0126484434497421	0.00804810620132846	9500	tags=72%, list=26%, signal=53%	57038/2193/283459/57505/57176/55278/123263/10352/5188/10667/79731/55699/55157/124454/25973/51091/23395/92935
hsa00983	Drug metabolism - other enzymes	79	-0.573694288927868	-2.1636427035598	2.1528777173348e-07	2.40404678435719e-06	1.52967627284315e-06	3526	tags=32%, list=10%, signal=29%	1571/7172/8824/2939/7364/54578/1807/2938/2940/51733/79799/54658/7367/54600/54657/4353/54490/1066/1576/1549/7363/10941/7366/1548/7365
hsa01200	Carbon metabolism	117	-0.576791366926254	-2.04827166180836	2.25053860950249e-10	1.0988810851371e-08	6.99209488578985e-09	6944	tags=57%, list=19%, signal=47%	5211/230/2098/5214/1892/5160/275/2653/2806/4190/1431/2023/26007/6389/3418/8801/26227/5230/2271/6390/84532/10993/35/5096/2746/4524/5223/5091/3030/8802/1738/51/1737/48/5213/6392/4967/5161/6391/441531/1743/128/6470/414328/2875/9104/8803/2747/3419/2027/26275/2805/5095/50/8789/847/1373/55753/1962/2203/38/4329/5313/54363/51179/229/189
hsa00860	Porphyrin and chlorophyll metabolism	41	-0.588467596953982	-1.85914634447476	0.000405591019776638	0.00236300855000302	0.00150356396347404	3608	tags=44%, list=10%, signal=40%	124454/211/7364/54578/2235/210/3162/79799/54658/7367/54600/54657/212/54490/7363/10941/7366/7365
hsa00350	Tyrosine metabolism	36	-0.59881766516177	-1.92696633492322	0.000251587847594487	0.00160537007512673	0.00102148449399265	2988	tags=39%, list=8%, signal=36%	4129/125/3081/81889/128/316/2805/130/1644/7299/126/6898/124/127
hsa00040	Pentose and glucuronate interconversions	33	-0.603943627569812	-1.88550618704782	0.00034750805343477	0.00211663996182996	0.00134680154680461	1725	tags=45%, list=5%, signal=43%	51084/6652/79799/54658/9942/9365/7367/54600/54657/27294/54490/7363/10941/7366/7365
hsa00010	Glycolysis / Gluconeogenesis	67	-0.607963309943635	-2.08399488043515	8.60254697551987e-08	1.28082366079963e-06	8.14978134522936e-07	4027	tags=40%, list=11%, signal=36%	130589/669/5223/501/1738/1737/5213/5161/125/441531/223/128/57818/2027/5106/219/8789/224/2203/130/5313/5105/229/2538/126/124/127
hsa00650	Butanoate metabolism	28	-0.613626549217514	-1.89019976391869	0.00110731119253245	0.00494598999331161	0.00314709496825012	4359	tags=61%, list=12%, signal=53%	3155/35/3030/54988/6296/54511/3033/3157/123876/7915/79944/348158/18/1962/38/5019/3158
hsa00140	Steroid hormone biosynthesis	60	-0.61610005729481	-2.21998753607315	6.61303156709248e-07	6.81650946146456e-06	4.33729195898374e-06	1350	tags=33%, list=4%, signal=32%	79799/54658/6718/1551/7367/54600/54657/3291/1543/8630/54490/1109/1576/1581/1544/7363/10941/7366/1586/7365
hsa00260	Glycine, serine and threonine metabolism	40	-0.625826050906563	-1.96699196019212	3.32612513747024e-05	0.000262176922600596	0.000166821136925752	4226	tags=48%, list=12%, signal=42%	10993/669/5223/501/211/1738/4129/441531/9380/6470/55349/1610/29958/635/2628/212/64902/27232/189
hsa04146	Peroxisome	83	-0.6410566179622	-2.3380223499229	2.46018153388902e-10	1.0988810851371e-08	6.99209488578985e-09	5271	tags=49%, list=14%, signal=42%	8504/5189/3418/5826/5193/3155/6342/23600/5191/5824/8540/55711/3295/8800/51/55825/283927/54511/10455/5825/23417/8528/83594/728635/8309/1384/10901/5827/2053/5264/2180/1610/23305/847/4843/1962/11001/54363/51179/189/570
hsa00830	Retinol metabolism	67	-0.642932771329026	-2.20386424969937	6.65838860927476e-09	1.11528009205352e-07	7.09644049146389e-08	2645	tags=49%, list=7%, signal=46%	51109/125/8228/54884/128/10170/728635/10901/316/79799/54658/1551/7367/54600/54657/8608/145226/130/1543/1555/8630/54490/1576/126/1549/1544/7363/10941/7366/124/127/1548/7365
hsa00980	Metabolism of xenobiotics by cytochrome P450	75	-0.644529387988681	-2.30245398386971	1.44559378452373e-09	3.22849278543633e-08	2.05426485169162e-08	3239	tags=44%, list=9%, signal=40%	2939/7364/54578/1645/1565/125/128/8574/2938/2940/79799/54658/22977/7367/54600/54657/27294/130/1543/1555/54490/1576/126/1549/1544/7363/10941/7366/6822/124/127/1548/7365
hsa00900	Terpenoid backbone biosynthesis	22	-0.647000262642287	-1.87320881525409	0.00404630041811208	0.0164304320008188	0.010454556104213	5551	tags=41%, list=15%, signal=35%	79947/2224/57107/3156/51449/3422/3157/38/3158
hsa00053	Ascorbate and aldarate metabolism	30	-0.650505681846815	-2.00581754423093	0.000171743584541525	0.00121124422781917	0.000770705282430111	1404	tags=60%, list=4%, signal=58%	7364/54578/223/9104/219/79799/224/54658/9365/7367/54600/54657/55586/54490/7363/10941/7366/7365
hsa03320	PPAR signaling pathway	74	-0.661397557212225	-2.34407531213592	4.63641946727514e-10	1.55320052153717e-08	9.88289412761279e-09	4397	tags=49%, list=12%, signal=43%	4023/23205/6342/2170/10998/5170/51/3611/5468/3157/5465/8309/1593/123/1374/948/5106/2710/6258/33/2180/1376/34/23305/364/1962/2168/2167/11001/5105/3158/1581/336/335/345/116519
hsa00220	Arginine biosynthesis	22	-0.668965492914589	-1.93680301351164	0.00229176242880987	0.00990632791808137	0.00630331941370457	6088	tags=64%, list=17%, signal=53%	2806/2744/95/27165/4846/2746/384/2875/2747/2805/4843/1373/383/5009
hsa00620	Pyruvate metabolism	39	-0.681707373489686	-2.1762319082377	1.76035537863752e-06	1.57258413824952e-05	1.0006230573308e-05	8086	tags=67%, list=22%, signal=52%	2739/5162/4199/3945/3029/5160/4190/217/32/2271/84532/501/5091/1738/1737/5161/223/9380/5106/219/224/197257/38/5313/134526/5105
hsa00982	Drug metabolism - cytochrome P450	69	-0.685718662348553	-2.38426595784836	6.92131531635281e-10	1.85491250478255e-08	1.1802664013149e-08	3239	tags=48%, list=9%, signal=44%	2939/7364/54578/4129/1558/1565/125/2327/128/2938/2940/316/2330/79799/54658/7367/54600/54657/2326/130/1555/54490/1576/126/1549/1544/7363/10941/7366/124/127/1548/7365
hsa00640	Propanoate metabolism	33	-0.730814977889955	-2.28159732050396	1.34255257163992e-06	1.28501460428392e-05	8.17644799269422e-06	5505	tags=67%, list=15%, signal=57%	55862/32/8801/84532/35/5096/594/3030/1629/8802/1738/51/23417/593/8803/79611/26275/5095/18/1962/38/4329
hsa00072	Synthesis and degradation of ketone bodies	10	-0.744893969407086	-1.86130381517351	0.0120935989228128	0.0434880806308741	0.0276711275027557	5020	tags=70%, list=14%, signal=60%	56898/3155/54511/3157/38/5019/3158
hsa00071	Fatty acid degradation	43	-0.759754711435252	-2.48556178925094	4.19482816882645e-09	8.03009963746778e-08	5.10948994999914e-08	4002	tags=60%, list=11%, signal=54%	35/501/3030/51/10455/3033/3032/125/223/128/36/1374/33/219/2180/1376/224/34/23305/10449/1962/38/130/126/124/127
hsa00630	Glyoxylate and dicarboxylate metabolism	29	-0.760796041868434	-2.34027862523473	1.91307219988299e-06	1.60219796740201e-05	1.0194661065166e-05	6333	tags=66%, list=17%, signal=54%	275/2653/4190/1431/125061/84532/5096/112817/1738/48/9380/6470/5095/50/847/38/54363/51179/189
hsa00280	Valine, leucine and isoleucine degradation	47	-0.774775139074789	-2.64665951545762	1e-10	1.0988810851371e-08	6.99209488578985e-09	4359	tags=74%, list=12%, signal=66%	3155/64087/35/5096/11112/594/501/3030/56922/1629/27034/1738/54511/3033/3157/3032/3712/223/593/36/549/316/26275/219/5095/224/34/10449/18/1962/64902/38/4329/5019/3158
hsa00120	Primary bile acid biosynthesis	17	-0.775633047521846	-2.13906036597326	0.000243527243390872	0.00160537007512673	0.00102148449399265	4165	tags=71%, list=11%, signal=63%	6342/23600/10998/3295/9420/8309/1593/51302/6718/1109/1581/570
hsa00020	Citrate cycle (TCA cycle)	30	-0.782898403259406	-2.41404709663688	1.81086876937351e-07	2.40404678435719e-06	1.52967627284315e-06	6468	tags=83%, list=18%, signal=69%	5160/4190/1431/6389/3418/8801/2271/6390/5091/8802/1738/1737/48/6392/4967/47/5161/6391/1743/8803/3419/5106/50/55753/5105
