ONTOLOGY	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalues	rank	leading_edge	core_enrichment
BP	GO:0002431	Fc receptor mediated stimulatory signaling pathway	144	0.631947744445086	1.50925932082427	4.29975951058692e-07	4.89627544268947e-05	4.39028076344138e-05	7427	tags=37%, list=20%, signal=29%	28883/28896/28921/28907/28797/28916/28893/3539/3538/28937/3514/3500/28912/28809/28815/28820/3503/28874/28392/28424/388077/28913/28778/28813/28299/28394/28442/28434/28776/3542/28395/3501/28793/28816/28796/28452/28450/28461/28457/28823/28454/28834/28439/28791/28876/28908/28817/3502/28881/28938/28919/28940/28825
BP	GO:0006911	phagocytosis, engulfment	107	0.631590969402802	1.49266174551945	4.26460598954998e-05	0.00225355159643867	0.0020206633264555	6149	tags=43%, list=17%, signal=36%	343702/28409/3497/3539/28400/3507/28385/3543/28466/3538/3514/3500/28468/3503/28423/28392/28424/388077/28396/28426/28394/28442/100423062/28434/3542/28395/3501/28444/28445/28401/28388/28452/28450/84466/28461/28457/3494/28454/28834/28408/28439/102723169/114786/3493/3502/28414
BP	GO:0038094	Fc-gamma receptor signaling pathway	141	0.626940146213366	1.49435935774019	1.89315809571855e-06	0.000168199815427302	0.000150817580164415	7427	tags=38%, list=20%, signal=30%	28883/28896/28921/28907/28797/28916/28893/3539/3538/28937/3514/3500/28912/28809/28815/28820/3503/28874/28392/28424/388077/28913/28778/28813/28299/28394/28442/28434/28776/3542/28395/3501/28793/28816/28796/28452/28450/28461/28457/28823/28454/28834/28439/28791/28876/28908/28817/3502/28881/28938/28919/28940/28825
BP	GO:0099024	plasma membrane invagination	116	0.618680453608709	1.46859788815987	2.97596253039704e-05	0.00165935565919035	0.00148787324477999	6994	tags=42%, list=19%, signal=34%	343702/28409/3497/3539/28400/3507/28385/3543/28466/3538/3514/3500/28468/3503/28423/28392/28424/388077/28396/28426/28394/28442/100423062/28434/3542/28395/3501/28444/28445/28401/28388/28452/28450/84466/28461/28457/3494/28454/28834/28408/28439/102723169/114786/3493/3502/28414/28391/9212/28448
BP	GO:0050871	positive regulation of B cell activation	131	0.613531234506609	1.4586703833846	1.87550403213171e-05	0.00113160075371529	0.00101465799444549	8382	tags=42%, list=23%, signal=32%	28409/3497/3569/3539/28400/3507/28385/3543/28466/3538/3514/3500/28468/3503/28423/28392/28424/388077/28396/28426/28394/28442/100423062/28434/3542/28395/3501/28444/28445/28401/28388/28452/28450/59067/28461/28457/1141/3494/28454/28834/28408/28439/102723169/3493/3502/28414/28391/28448/8660/100/28449/3558/28410/3565/84433
BP	GO:0002455	humoral immune response mediated by circulating immunoglobulin	139	0.61267678938796	1.46058744383023	1.59347913500777e-05	0.000983456397445637	0.000881823286685298	6994	tags=56%, list=19%, signal=46%	28883/28896/28921/28409/28907/28797/28916/1401/28893/3497/3539/28400/3507/28385/3543/28466/3538/28937/3514/3500/28912/28809/28815/28820/28468/3503/28874/28423/28392/28424/388077/28396/28913/28426/28778/28813/28299/28394/28442/100423062/28434/28776/3542/28395/3501/28793/55061/28816/28444/28796/28445/28401/28388/28452/28450/28461/28457/3494/28823/28454/28834/28408/28439/102723169/28791/28876/28908/28817/3493/3502/28414/715/28881/28391/28938/716/28919/28448
BP	GO:0050853	B cell receptor signaling pathway	114	0.609233633389663	1.44465305816285	7.99608230560063e-05	0.00369419002518749	0.00331242218578476	6149	tags=39%, list=17%, signal=32%	28409/3497/3539/28400/3507/28385/3543/28466/3538/3514/3500/28468/3503/28423/28392/28424/388077/28396/28426/28394/28442/100423062/28434/3542/28395/3501/28444/28445/28401/28388/28452/28450/973/28461/28457/3494/28454/28834/28408/28439/102723169/3493/3502/28414
BP	GO:0038095	Fc-epsilon receptor signaling pathway	167	0.608145404317131	1.45776273097712	1.85842223349288e-06	0.000166948263975444	0.000149695367509538	5751	tags=27%, list=16%, signal=23%	28883/28896/28921/28907/28797/28916/28893/3497/3539/3538/28937/3514/28912/28809/28815/28820/28874/28392/28424/388077/28913/28778/28813/28299/28394/28442/28434/28776/3542/28395/28793/28816/28796/28452/28450/28461/28457/28823/28454/28834/28439/28791/28876/28908/28817
BP	GO:0010324	membrane invagination	124	0.606929228738973	1.44313279057818	9.28519970545166e-05	0.00405788322262577	0.00363853031985466	6994	tags=40%, list=19%, signal=32%	343702/28409/3497/3539/28400/3507/28385/3543/28466/3538/3514/3500/28468/3503/28423/28392/28424/388077/28396/28426/28394/28442/100423062/28434/3542/28395/3501/28444/28445/28401/28388/28452/28450/84466/28461/28457/3494/28454/28834/28408/28439/102723169/114786/3493/3502/28414/28391/9212/28448
MF	GO:0004984	olfactory receptor activity	419	0.598295022248933	1.46641782492016	1e-10	3.85e-08	3.45213032581454e-08	8376	tags=53%, list=23%, signal=41%	343406/219437/390148/254783/79482/26497/120796/403284/442184/390167/390431/390326/338674/391109/338675/127062/81469/128366/390157/81470/391194/390151/403282/390038/138802/119749/219981/219432/283093/79501/284383/121364/390093/219870/219493/341799/256892/26333/26529/79346/120066/219487/4992/391121/79544/441670/8392/8383/26538/125958/79310/219986/125962/26664/390078/392391/219982/79290/442191/341418/119687/219464/219436/283092/390083/390327/390429/26530/26531/347168/26338/138803/219482/390445/219447/119764/10798/341152/219952/26658/135948/286365/119678/81050/81168/403257/283189/390323/81169/401666/283110/127385/341416/390081/120586/390439/391112/8389/26219/81696/390261/81697/392133/219417/219469/8388/26189/128368/390432/441911/219477/81797/219429/26532/390201/119694/26648/119679/390894/79289/219875/390882/283162/390433/124538/338662/390082/219431/401667/440153/26659/7932/26245/26184/23538/442185/390154/79324/81442/135941/81472/81341/390275/390260/126541/389090/120793/128372/26476/219965/390648/81127/121129/283111/390084/144124/81309/391189/390134/441639/121130/127608/441932/283617/127064/8387/390152/158131/403278/79470/79490/26533/219438/401973/282775/390265/341276/390197/219983/26707/390174/8386/392392/390436/26687/441669/79317/150681/283160/26492/26539/390075/26737/338751/346525/254786/219453/390064/285659/81300/81193/26689/127066/286362/219858/79473/255725/403274/441608/138805/387815/653166/219873/126370/403239/391196/283365/81328/390037/26696/135924/26496/442179
BP	GO:0050911	detection of chemical stimulus involved in sensory perception of smell	419	0.598295022248933	1.46641782492016	1e-10	3.85e-08	3.45213032581454e-08	8376	tags=53%, list=23%, signal=41%	343406/219437/390148/254783/79482/26497/120796/403284/442184/390167/390431/390326/338674/391109/338675/127062/81469/128366/390157/81470/391194/390151/403282/390038/138802/119749/219981/219432/283093/79501/284383/121364/390093/219870/219493/341799/256892/26333/26529/79346/120066/219487/4992/391121/79544/441670/8392/8383/26538/125958/79310/219986/125962/26664/390078/392391/219982/79290/442191/341418/119687/219464/219436/283092/390083/390327/390429/26530/26531/347168/26338/138803/219482/390445/219447/119764/10798/341152/219952/26658/135948/286365/119678/81050/81168/403257/283189/390323/81169/401666/283110/127385/341416/390081/120586/390439/391112/8389/26219/81696/390261/81697/392133/219417/219469/8388/26189/128368/390432/441911/219477/81797/219429/26532/390201/119694/26648/119679/390894/79289/219875/390882/283162/390433/124538/338662/390082/219431/401667/440153/26659/7932/26245/26184/23538/442185/390154/79324/81442/135941/81472/81341/390275/390260/126541/389090/120793/128372/26476/219965/390648/81127/121129/283111/390084/144124/81309/391189/390134/441639/121130/127608/441932/283617/127064/8387/390152/158131/403278/79470/79490/26533/219438/401973/282775/390265/341276/390197/219983/26707/390174/8386/392392/390436/26687/441669/79317/150681/283160/26492/26539/390075/26737/338751/346525/254786/219453/390064/285659/81300/81193/26689/127066/286362/219858/79473/255725/403274/441608/138805/387815/653166/219873/126370/403239/391196/283365/81328/390037/26696/135924/26496/442179
BP	GO:0070268	cornification	112	0.594874110894832	1.40949027855499	0.000462436669160506	0.0128924154143541	0.0115600774610106	7976	tags=49%, list=22%, signal=38%	23581/126638/3872/353288/3860/3713/9333/404203/5266/3866/6701/11187/7051/7062/192666/1825/3885/43849/338785/84648/3880/3851/3850/147183/26085/6705/342574/196374/3887/8687/3868/25818/6698/3852/390792/6700/3886/6707/1830/9119/3882/3853/3854/286887/162605/3888/121391/6706/6704/3883/643414/6703/63036/2312/51350
BP	GO:0002377	immunoglobulin production	192	0.584811757841168	1.40979744395867	1.48066950967652e-05	0.000928001006646101	0.000832098809721928	8382	tags=38%, list=23%, signal=29%	28773/28883/28896/28775/28921/28784/28907/28877/28797/28916/28891/28678/28803/28893/3569/28785/28906/28937/3514/28912/28809/28815/28820/28874/51237/28913/28778/28813/28804/28299/28814/28774/28776/28939/28941/28826/28793/28779/28816/28796/28783/28875/28902/28942/28781/28823/28791/28876/28884/28908/28817/28799/28881/28795/28943/28938/28919/57379/28870/28935/100141515/28900/28940/28825/28822/3598/3558/28772/28882/50943/3565/84433
BP	GO:0007608	sensory perception of smell	446	0.58351896217399	1.42981498437698	1e-10	3.85e-08	3.45213032581454e-08	9040	tags=54%, list=25%, signal=41%	343406/219437/390148/254783/79482/26497/120796/403284/442184/390167/390431/390326/338674/391109/338675/127062/81469/128366/390157/81470/391194/390151/403282/390038/138802/119749/219981/219432/283093/79501/284383/121364/390093/219870/219493/341799/256892/26333/26529/79346/120066/29991/219487/4992/391121/79544/441670/8392/8383/26538/125958/79310/219986/125962/26664/390078/392391/219982/79290/442191/341418/119687/219464/219436/283092/390083/390327/390429/26530/26531/347168/26338/138803/219482/390445/219447/119764/10798/341152/219952/26658/135948/286365/119678/81050/81168/403257/283189/390323/81169/401666/283110/127385/341416/390081/120586/390439/391112/8389/26219/81696/390261/81697/392133/219417/219469/8388/26189/128368/390432/441911/219477/81797/219429/26532/390201/119694/26648/119679/390894/79289/219875/390882/283162/390433/124538/338662/390082/219431/401667/440153/26659/7932/26245/26184/23538/442185/390154/79324/81442/135941/81472/81341/390275/390260/126541/389090/120793/128372/26476/219965/127534/390648/81127/54831/121129/283111/390084/144124/81309/391189/390134/441639/121130/127608/441932/283617/127064/8387/390152/158131/403278/79470/79490/26533/219438/4685/401973/282775/390265/341276/390197/219983/26707/390174/8386/392392/390436/26687/441669/79317/150681/283160/26492/26539/390075/26737/338751/346525/1260/254786/219453/390064/285659/81300/81193/26689/127066/286362/219858/79473/255725/403274/441608/138805/387815/653166/219873/126370/403239/391196/283365/81328/390037/26696/135924/26496/442179/81315/79541/120065/282770/2535/390079/347468/254973/219484/130075/390061/100507003
BP	GO:0050907	detection of chemical stimulus involved in sensory perception	468	0.573793856601996	1.40706115674438	2.36649251367522e-10	7.3588815281016e-08	6.59839430837297e-08	10065	tags=56%, list=28%, signal=41%	343406/219437/390148/254783/79482/26497/120796/403284/442184/390167/390431/390326/338674/391109/338675/127062/81469/132112/128366/390157/81470/391194/390151/403282/390038/138802/119749/219981/219432/283093/79501/284383/121364/390093/219870/219493/341799/256892/26333/26529/79346/120066/219487/4992/391121/79544/441670/8392/8383/26538/125958/79310/219986/125962/26664/390078/392391/219982/79290/442191/341418/119687/219464/219436/283092/390083/390327/390429/26530/26531/347168/26338/138803/219482/390445/219447/119764/10798/341152/219952/26658/135948/286365/119678/81050/81168/403257/283189/390323/81169/401666/283110/127385/341416/390081/120586/390439/391112/8389/26219/81696/390261/81697/392133/219417/219469/8388/26189/128368/390432/441911/219477/81797/219429/26532/390201/119694/26648/119679/390894/79289/219875/390882/283162/390433/124538/338662/390082/219431/401667/440153/26659/7932/26245/26184/23538/442185/390154/79324/80834/81442/135941/81472/81341/390275/390260/4025/126541/389090/120793/128372/26476/219965/390648/81127/121129/283111/390084/144124/81309/391189/390134/441639/121130/127608/441932/283617/127064/8387/390152/158131/403278/79470/79490/353164/26533/219438/401973/282775/390265/341276/390197/219983/26707/390174/8386/392392/390436/26687/441669/79317/150681/283160/26492/26539/390075/26737/338751/346525/254786/219453/390064/285659/81300/81193/26689/127066/286362/219858/79473/255725/403274/441608/138805/387815/653166/219873/126370/403239/391196/283365/81328/390037/26696/135924/26496/442179/81315/80835/79541/120065/50835/282770/50837/259285/390079/347468/254973/219484/130075/390061/83756/342372/390053/765/122742/26693/26716/26692/442194/26495/392309/390199/81228/26211/390181/81318/283159/256148/122748/282763/125963
BP	GO:0050864	regulation of B cell activation	173	0.562846880503388	1.35061930178613	0.000301449858613463	0.0097488884275594	0.00874141126850914	8382	tags=34%, list=23%, signal=26%	28409/3623/3497/3569/3539/28400/3507/28385/3543/28466/3538/3514/3500/28468/3503/28423/28392/51237/28424/388077/28396/28426/28394/28442/100423062/28434/3542/28395/3501/28444/28445/28401/28388/28452/28450/59067/28461/28457/1141/3494/28454/28834/28408/28439/102723169/3493/3502/28414/28391/28448/8660/100/930/28449/3558/28410/50943/3565/84433
BP	GO:0031424	keratinization	223	0.559649060649151	1.35550154688189	0.000147694494080381	0.00559109532214414	0.00501329603015418	8703	tags=51%, list=24%, signal=39%	23581/337975/337973/126638/163778/3872/353288/3860/353133/3713/337979/9333/404203/5266/643803/199834/85293/3866/6701/11187/448835/7051/7062/386678/192666/1825/3885/730755/353332/43849/338785/100132386/1001/84648/2810/728318/337968/337971/337974/3880/3851/3850/337967/147183/26085/6705/353142/100288323/342574/196374/3887/84616/85280/8687/254910/85294/3868/25818/386677/386672/6698/3852/390792/6700/84518/3886/6707/653240/386685/1830/85289/9119/337972/337880/3882/3853/3854/337959/386675/387267/100131902/643812/388818/439915/286887/162605/3888/337969/353139/121391/6706/83901/100505753/386683/6704/337970/100505724/3883/643414/337966/6703/728224/63036/353323/2312/353132/51350/337963/353137/353333/337960/440021/144501/337977
BP	GO:0016064	immunoglobulin mediated immune response	207	0.556868499709084	1.3458779403433	0.000453322904202643	0.0127260961127721	0.0114109460571769	8380	tags=43%, list=23%, signal=34%	28883/28896/28921/28409/28907/28797/28916/1401/28893/3497/3539/28400/3507/28385/3543/28466/3538/28937/3514/3500/28912/28809/28815/28820/28468/3503/28874/28423/28392/28424/388077/28396/28913/28426/28778/28813/28299/28394/28442/100423062/28434/28776/3542/28395/3501/28793/55061/28816/28444/28796/28445/28401/28388/28452/28450/28461/28457/3494/28823/28454/28834/28408/28439/102723169/28791/28876/28908/28817/3493/3502/28414/715/28881/28391/28938/716/28919/28448/57379/100141515/28940/28825/930/28822/28449/3598/3558/28410/50943/3565
BP	GO:0019724	B cell mediated immunity	210	0.552236706422909	1.33453235169227	0.000596627073044174	0.0151689619042835	0.0136013593249097	8380	tags=43%, list=23%, signal=33%	28883/28896/28921/28409/28907/28797/28916/1401/28893/3497/3539/28400/3507/28385/3543/28466/3538/28937/3514/3500/28912/28809/28815/28820/28468/3503/28874/28423/28392/28424/388077/28396/28913/28426/28778/28813/28299/28394/28442/100423062/28434/28776/3542/28395/3501/28793/55061/28816/28444/28796/28445/28401/28388/28452/28450/28461/28457/3494/28823/28454/28834/28408/28439/102723169/28791/28876/28908/28817/3493/3502/28414/715/28881/28391/28938/716/28919/28448/57379/100141515/28940/28825/930/28822/28449/3598/3558/28410/50943/3565
BP	GO:0008037	cell recognition	204	0.549081472601789	1.32535878948007	0.000883373258083709	0.0203477857310735	0.0182449891390688	6671	tags=32%, list=18%, signal=27%	55079/5047/28409/128434/6677/167/3497/124912/3539/257062/28400/3507/28385/3543/28466/57829/3538/3514/3500/28468/3503/28423/28392/28424/388077/28396/28426/22917/28394/28442/100423062/84665/28434/3542/28395/83639/3501/378807/11085/28444/28445/7455/28401/28388/28452/28450/84466/10371/28461/28457/10332/3494/28454/124626/28834/28408/28439/102723169/3493/3502/28414/4685/7287/28391/6900/6363
BP	GO:0030216	keratinocyte differentiation	301	0.528716100160324	1.2892318877212	0.000430311792191336	0.0123371306378261	0.0110621773528247	8703	tags=42%, list=24%, signal=32%	23581/337975/337973/126638/163778/3872/353288/3860/353133/3713/574414/337979/9333/404203/5266/643803/199834/85293/3866/6701/11187/2069/448835/7051/7062/386678/149018/192666/1825/3885/730755/130120/353332/43849/338785/100132386/1001/5275/84648/2810/728318/337968/337971/337974/3880/3851/3850/337967/147183/26085/6705/353142/100288323/342574/196374/3887/84616/85280/8687/254910/85294/3868/25818/386677/386672/6698/3852/390792/6700/84518/3886/100129271/6707/653240/386685/1830/85289/9119/337972/337880/3882/3853/3854/58495/337959/386675/4488/387267/100131902/643812/388818/439915/286887/162605/6278/3888/337969/353139/121391/6706/83901/100505753/386683/6704/337970/100505724/51384/3883/643414/337966/6703/728224/63036/353323/2312/353132/51350/125981/1515/337963/353137/353333/861/337960/440021/144501/337977
BP	GO:0038093	Fc receptor signaling pathway	239	0.528564369184357	1.28315905321165	0.00170110637890527	0.0320593125255224	0.0287462142841875	6857	tags=22%, list=19%, signal=18%	28883/28896/28921/28907/28797/28916/28893/3497/3539/3538/28937/3514/3500/28912/28809/28815/28820/3503/28874/28392/28424/388077/28913/28778/28813/28299/28394/28442/28434/28776/3542/28395/3501/28793/28816/28796/28452/28450/28461/28457/28823/28454/28834/28439/28791/28876/28908/28817/3502/28881/28938/28919
BP	GO:0009913	epidermal cell differentiation	354	0.506221158605579	1.23739326537117	0.00263433074682027	0.0446510777527084	0.0400367115819292	8703	tags=38%, list=24%, signal=29%	23581/337975/337973/126638/163778/3872/353288/3860/353133/3713/574414/337979/9333/404203/5266/643803/199834/85293/3866/6701/11187/2069/448835/7051/7062/386678/149018/192666/1825/3885/730755/130120/353332/43849/338785/100132386/474/1001/5275/84648/2810/728318/337968/337971/337974/3880/3851/3850/337967/147183/26085/6705/353142/100288323/389207/342574/196374/3887/84616/85280/8687/254910/85294/3868/25818/386677/386672/6698/3852/390792/6700/84518/3886/100129271/6820/6707/653240/386685/1830/85289/5308/9119/337972/337880/3882/3853/3854/58495/337959/386675/4488/387267/100131902/643812/388818/439915/286887/162605/6278/3888/337969/353139/121391/6706/83901/100505753/386683/6704/337970/100505724/51384/3883/643414/337966/6703/728224/63036/353323/2312/7401/353132/51350/7399/125981/1515/337963/353137/353333/861/337960/161497/440021/144501/337977
BP	GO:0030073	insulin secretion	206	-0.299858045924929	-1.07055210017097	0.00283064725170398	0.0467056796531156	0.0418789852255323	2793	tags=22%, list=8%, signal=20%	54097/3033/11069/776/777/114131/9066/292/51768/139760/27445/3747/2693/111/5581/7447/4041/389692/57818/291/169026/1374/1803/6422/5950/5208/2852/3651/6927/6514/57393/4843/387597/18/25924/846/143425/5019/9515/1080/8431/4825/4544/1392/2044
BP	GO:0009743	response to carbohydrate	227	-0.305559733284611	-1.18129182461241	0.00302467557087246	0.0488113812185706	0.0437670777531225	2697	tags=18%, list=7%, signal=16%	51085/7057/114131/2729/10497/3480/7048/81035/111/5581/7447/4041/389692/5563/169026/1958/5106/5208/2805/2852/3795/3651/10891/55937/57393/847/1215/387597/846/5313/5019/1080/8431/5105/4825/1392/1361/1581/2044/336
BP	GO:0031669	cellular response to nutrient levels	235	-0.307879206925236	-1.23497814226385	0.000959277978892659	0.0216037951513848	0.0193711990635794	7268	tags=31%, list=20%, signal=25%	867/8493/23032/9681/10670/55626/11345/2475/4780/4976/2308/96459/56270/8678/5562/5030/10458/79567/5469/54332/55364/1965/9213/467/2629/26/23411/8648/729438/5899/8428/4023/5289/5599/5166/93664/6721/5287/7248/3312/30849/1824/11170/6722/53349/5594/80315/5468/57026/23235/114131/23710/596/81788/7421/9131/3162/57463/283375/5563/120892/5587/6422/92196/5164/7071/255738/220441/58528/846/10991/5105/54474/213
BP	GO:0045017	glycerolipid biosynthetic process	249	-0.31033708087732	-1.30606097527111	0.00183536050112519	0.0339096072404336	0.0304052944132886	5891	tags=31%, list=16%, signal=26%	10554/2822/8895/57678/22876/9663/407031/200576/66036/79837/5155/8760/56910/5291/5290/55326/23259/407032/5337/171586/5783/22908/201164/4023/5289/85465/26751/3949/59338/55650/51552/2170/10390/5287/23446/283/8867/5286/5297/54545/30849/56994/55224/8503/2819/660/59339/5283/4534/392636/65258/56894/126969/84720/5336/8395/84962/128486/80736/9104/5106/2710/248/1040/2180/23171/116255/80157/64850/9362/84803/5288/7069/27124/5105/336/335
BP	GO:0051650	establishment of vesicle localization	183	-0.313979705366692	-1.23744034251607	0.00294560680507396	0.048014578667385	0.043052618986724	9475	tags=55%, list=26%, signal=41%	4641/6845/22871/2157/10053/8517/11127/26052/10972/10947/6811/55291/3998/8766/8729/5071/585/3676/51399/81876/357/3799/81/1861/26286/157769/55062/84062/5871/583/10125/26985/11196/8195/22920/83930/26258/2801/9342/84364/4644/64149/51128/122553/8546/8943/22872/22906/23256/84100/9919/90411/5048/8301/8976/8775/1778/10239/5864/10175/9527/10749/55212/5663/3064/59349/55717/7109/966/80208/8452/9371/23122/79443/66008/1499/8615/5537/10427/8867/63971/5590/54874/1759/63915/4033/9632/23095/6622/4647/92558/55435/111240474/65018/64284/120892/6517/4935/8825/2153
BP	GO:0009746	response to hexose	199	-0.314890810847022	-1.09121932759195	0.00236812603692325	0.0409984989475899	0.0367616003973637	2697	tags=19%, list=7%, signal=17%	51085/7057/114131/2729/10497/3480/7048/111/5581/7447/4041/389692/5563/169026/1958/5106/5208/2852/3795/3651/10891/55937/57393/1215/387597/846/5313/5019/1080/8431/5105/4825/1392/1361/1581/2044/336
BP	GO:0034284	response to monosaccharide	204	-0.315432433426269	-1.11491054756396	0.00165364351237256	0.0313842906045356	0.0281409510000243	2697	tags=19%, list=7%, signal=17%	51085/7057/114131/2729/10497/3480/7048/111/5581/7447/4041/389692/5563/169026/1958/5106/5208/2852/3795/3651/10891/55937/57393/847/1215/387597/846/5313/5019/1080/8431/5105/4825/1392/1361/1581/2044/336
BP	GO:0050796	regulation of insulin secretion	175	-0.32434544655698	-1.09193029256157	0.00151852900938349	0.0295127573097729	0.0264628271447979	2762	tags=22%, list=8%, signal=21%	3033/11069/776/777/114131/9066/292/51768/3747/2693/111/5581/7447/4041/57818/291/169026/1374/1803/6422/5950/5208/2852/3651/6514/57393/4843/18/25924/846/143425/5019/9515/1080/8431/4825/4544/1392/2044
BP	GO:0009749	response to glucose	194	-0.325634095767924	-1.11638375904783	0.00146566380921652	0.0290438526899891	0.0260423804284679	2697	tags=19%, list=7%, signal=18%	51085/7057/114131/2729/10497/3480/7048/111/5581/7447/4041/389692/5563/169026/1958/5106/5208/2852/3795/3651/10891/55937/57393/1215/387597/846/5313/5019/1080/8431/5105/4825/1392/1361/1581/2044/336
